OBJID;RA;DEC;NH;ENERGY_SLOPE;ENERGY_SLOPE_ERROR;EXPOSURE_TIME;nufnu_3keV(erg.s-1.cm-2);nufnu_error_3keV(erg.s-1.cm-2);nufnu_0.5keV(erg.s-1.cm-2);nufnu_error_0.5keV(erg.s-1.cm-2);upper_limit_0.5keV(erg.s-1.cm-2);nufnu_1.5keV(erg.s-1.cm-2);nufnu_error_1.5keV(erg.s-1.cm-2);upper_limit_1.5keV(erg.s-1.cm-2);nufnu_4.5keV(erg.s-1.cm-2);nufnu_error_4.5keV(erg.s-1.cm-2);upper_limit_4.5keV(erg.s-1.cm-2)
4380;1.453300000000013;-0.5779155555555555;3.06e+20;0.8;-999/-999;7889.3;2.65356e-14;7.780079999999999e-15;6.808580000000001e-15;5.44886e-15;-999.0;2.9147900000000006e-14;1.3554200000000001e-14;-999.0;4.41412e-14;2.05263e-14;-999.0
4381;1.3315833333333273;-0.48354;3e+20;0.8;-999/-999;10268.4;1.88703e-14;6.655199999999999e-15;1.3522100000000001e-14;7.53712e-15;-999.0;1.93673e-14;1.0795200000000002e-14;-999.0;1.4676400000000002e-14;1.14156e-14;-999.0
4382;1.4391374999999869;-0.5800436111111111;3.06e+20;0.8;-999/-999;7696.8;3.21345e-14;8.61366e-15;1.64888e-14;8.66229e-15;-999.0;4.7055300000000004e-14;1.7433900000000003e-14;-999.0;1.78149e-14;1.3033700000000002e-14;-999.0
4397;13.022670833333336;0.594245;2.52e+20;0.8;-999/-999;4679.9;1.07397e-13;1.90904e-14;7.32823e-14;2.0097e-14;-999.0;7.73808e-14;2.4756200000000003e-14;-999.0;1.41375e-13;4.1469900000000004e-14;-999.0
4398;13.151979166666678;0.5432513888888889;2.58e+20;0.8;-999/-999;4862.8;3.3001e-14;1.14786e-14;3.48311e-14;1.55334e-14;-999.0;3.41851e-14;1.8980700000000002e-14;-999.0;4.33589e-14;-4.5201e-11;1.72089e-13
4399;13.106645833333346;0.44018333333333337;2.57e+20;0.8;-999/-999;4931.0;3.59531e-14;1.20208e-14;2.5291999999999998e-14;1.36572e-14;-999.0;1.8627700000000003e-14;1.41336e-14;-999.0;5.6715599999999994e-14;3.06254e-14;-999.0
4400;50.61318749999998;0.9013877777777778;7.04e+20;1.04;+0.10/-0.09;15284.3;3.5880799999999997e-13;1.81216e-14;3.33074e-13;2.87238e-14;-999.0;4.1656599999999997e-13;3.31315e-14;-999.0;3.48542e-13;3.54879e-14;-999.0
4401;50.65303749999998;0.9084519444444444;7.14e+20;0.8;-999/-999;17080.7;1.7797e-14;5.1790199999999995e-15;3.78881e-15;3.39122e-15;-999.0;1.69423e-14;7.587609999999999e-15;-999.0;3.07549e-14;1.23964e-14;-999.0
4402;50.557716666666664;0.9199255555555556;7.01e+20;0.42700000000000005;+0.15/-0.12;16671.6;2.2572399999999998e-13;1.78047e-14;9.77412e-14;1.49091e-14;-999.0;1.2896199999999998e-13;1.94362e-14;-999.0;2.82835e-13;3.5910400000000005e-14;-999.0
4403;50.56031250000001;0.9487980555555555;7.15e+20;0.8;-999/-999;16760.9;4.04851e-14;7.535039999999999e-15;1.72481e-14;7.104510000000001e-15;-999.0;4.2406999999999997e-14;1.2053299999999999e-14;-999.0;5.03666e-14;1.5792500000000003e-14;-999.0
