OBJID;RA;DEC;NH;ENERGY_SLOPE;ENERGY_SLOPE_ERROR;EXPOSURE_TIME;nufnu_3keV(erg.s-1.cm-2);nufnu_error_3keV(erg.s-1.cm-2);nufnu_0.5keV(erg.s-1.cm-2);nufnu_error_0.5keV(erg.s-1.cm-2);upper_limit_0.5keV(erg.s-1.cm-2);nufnu_1.5keV(erg.s-1.cm-2);nufnu_error_1.5keV(erg.s-1.cm-2);upper_limit_1.5keV(erg.s-1.cm-2);nufnu_4.5keV(erg.s-1.cm-2);nufnu_error_4.5keV(erg.s-1.cm-2);upper_limit_4.5keV(erg.s-1.cm-2)
0;14.102000000000004;-1.2773102777777776;3.54e+20;0.8;-999/-999;4572.8;7.96961e-14;2.1177e-14;2.24733e-14;1.55274e-14;-999.0;1.08826e-13;4.0272699999999995e-14;-999.0;9.37007e-14;4.60196e-14;-999.0
1;14.079733333333337;-1.2494994444444445;3.52e+20;0.8;-999/-999;4684.2;6.277090000000001e-14;1.9752599999999997e-14;1.27727e-14;1.25221e-14;-999.0;7.07549e-14;3.43038e-14;-999.0;1.06643e-13;5.1703399999999997e-14;-999.0
2;14.095849999999984;-1.2276433333333334;3.51e+20;0.8;-999/-999;4649.6;5.50197e-14;1.9745599999999998e-14;2.23859e-14;1.7518900000000003e-14;-999.0;4.65563e-14;3.00594e-14;-999.0;9.35337e-14;5.2279599999999995e-14;-999.0
3;14.068408333333338;-1.2348383333333335;3.51e+20;0.8;-999/-999;4642.0;8.17327e-14;2.25664e-14;1.15106e-14;1.18772e-14;-999.0;9.56891e-14;3.9363499999999997e-14;-999.0;1.44238e-13;5.93351e-14;-999.0
4;14.070508333333322;-1.2212225;3.5e+20;0.8;-999/-999;4587.3;7.36584e-14;2.115e-14;5.61688e-14;2.41884e-14;-999.0;4.673e-14;2.64994e-14;-999.0;9.39095e-14;4.60162e-14;-999.0
5;14.055662500000011;-1.2486969444444445;3.51e+20;0.8;-999/-999;4462.9;6.12255e-14;1.9745599999999998e-14;5.6029399999999997e-14;2.58716e-14;-999.0;5.82222e-14;3.12153e-14;-999.0;2.9263e-14;2.7304900000000002e-14;-999.0
6;14.1077875;-1.3561677777777779;3.57e+20;0.8;-999/-999;4736.2;4.40918e-14;1.69584e-14;4.0463300000000004e-14;2.28254e-14;-999.0;4.1898900000000006e-14;-4.29374e-11;1.23047e-13;8.41558e-14;4.74725e-14;-999.0
7;14.012691666666655;-1.239376388888889;3.5e+20;0.8;-999/-999;4647.6;4.98576e-14;1.8330000000000002e-14;2.6059e-14;1.82387e-14;-999.0;9.03828e-14;4.0718800000000004e-14;-999.0;9.53659e-14;-7.00681e-11;1.80214e-13
8;-3.830945833333317;-0.20238111111111112;3.36e+20;0.8;-999/-999;4881.5;8.76985e-14;1.68408e-14;4.55693e-14;1.6759799999999998e-14;-999.0;9.56635e-14;2.77381e-14;-999.0;9.62615e-14;3.5403699999999996e-14;-999.0
9;-3.813941666666665;-0.1126613888888889;3.34e+20;0.8;-999/-999;5492.7;4.826e-14;1.27627e-14;2.9237e-14;1.3706e-14;-999.0;1.3656700000000001e-14;1.09317e-14;-999.0;1.03054e-13;3.74739e-14;-999.0
10;-3.913745833333337;-0.11678111111111111;3.34e+20;0.8;-999/-999;5133.8;2.8597e-14;1.03785e-14;3.11998e-14;1.45089e-14;-999.0;1.45638e-14;1.17924e-14;-999.0;2.1991400000000003e-14;1.78067e-14;-999.0
11;-3.7393208333334087;-0.19044694444444443;3.35e+20;0.8;-999/-999;5146.2;2.83827e-14;1.03822e-14;2.5815100000000003e-14;1.3055500000000001e-14;-999.0;1.8062099999999998e-14;1.2993799999999999e-14;-999.0;2.72709e-14;1.96186e-14;-999.0
12;-3.740416666666704;-0.2004163888888889;3.35e+20;0.8;-999/-999;5003.4;4.3002e-14;1.2627e-14;9.7725e-15;8.264919999999999e-15;-999.0;6.84338e-14;2.5716200000000002e-14;-999.0;4.13243e-14;2.49143e-14;-999.0
13;-3.8903916666666873;-0.2936613888888889;3.37e+20;0.8;-999/-999;5204.9;2.5340400000000003e-14;9.96769e-15;9.22027e-15;7.81258e-15;-999.0;2.57942e-14;1.5608700000000003e-14;-999.0;3.89367e-14;2.35616e-14;-999.0
14;-3.7569208333333677;-0.026718055555555557;3.32e+20;0.8;-999/-999;4826.6;5.2588e-14;1.4015999999999999e-14;7.64039e-14;2.36338e-14;-999.0;2.67966e-14;1.65778e-14;-999.0;8.09414e-14;-5.38711e-11;2.6773800000000004e-13
15;-49.17572916666677;-0.7230919444444445;5.31e+20;0.748;+0.04/-0.03;44772.7;8.702790000000001e-13;1.8615599999999997e-14;4.09573e-13;1.71625e-14;-999.0;9.04901e-13;2.86338e-14;-999.0;9.52536e-13;3.61931e-14;-999.0
16;-49.18733333333341;-0.6771925;5.3e+20;0.599;+0.13/-0.12;45446.9;8.671410000000001e-14;6.71268e-15;3.19829e-14;5.1139e-15;-999.0;7.8548e-14;9.23942e-15;-999.0;1.01294e-13;1.32195e-14;-999.0
17;-49.22146250000009;-0.7079208333333333;5.31e+20;0.8;-999/-999;40150.7;8.96302e-15;2.68488e-15;6.8834000000000006e-15;3.3724800000000003e-15;-999.0;7.32237e-15;3.88966e-15;-999.0;9.028289999999999e-15;5.31095e-15;-999.0
18;-49.06894166666672;-0.7611241666666667;5.32e+20;0.8;-999/-999;45644.2;7.84046e-15;2.3872e-15;4.22377e-15;2.4703000000000003e-15;-999.0;6.98681e-15;3.62137e-15;-999.0;1.03376e-14;5.35811e-15;-999.0
19;-49.229983333333394;-0.6346375;5.29e+20;0.8;-999/-999;42129.6;2.2927e-14;3.72675e-15;1.33035e-14;4.04429e-15;-999.0;2.1493900000000003e-14;5.71245e-15;-999.0;2.6916700000000004e-14;7.77316e-15;-999.0
20;-49.072604166666736;-0.7935075;5.33e+20;0.8;-999/-999;46241.9;1.6789500000000002e-14;3.28328e-15;2.2974400000000002e-14;5.47446e-15;-999.0;1.1075799999999999e-14;4.2745699999999996e-15;-999.0;2.34073e-15;2.3429000000000003e-15;-999.0
21;-49.094679166666765;-0.6208725;5.27e+20;0.8;-999/-999;46296.4;1.01843e-14;2.53266e-15;4.46145e-15;2.40402e-15;-999.0;9.71233e-15;3.90978e-15;-999.0;1.43774e-14;5.7877400000000004e-15;-999.0
22;-49.05759583333338;-0.6513775;5.28e+20;0.8;-999/-999;45083.8;8.09978e-15;2.38448e-15;4.7909e-15;2.5864999999999997e-15;-999.0;1.1917e-14;4.67763e-15;-999.0;2.9399e-15;2.76951e-15;-999.0
23;-49.24366666666674;-0.6274247222222222;5.29e+20;0.8;-999/-999;43326.5;9.179730000000001e-15;2.6832599999999997e-15;6.03555e-15;3.08836e-15;-999.0;7.49965e-15;3.83754e-15;-999.0;1.1099899999999999e-14;5.679760000000001e-15;-999.0
24;-49.27551250000005;-0.7915894444444445;5.35e+20;0.8;-999/-999;46291.2;8.590949999999999e-15;2.53861e-15;7.84234e-15;3.27576e-15;-999.0;1.6187699999999999e-15;1.7032499999999998e-15;-999.0;1.4363e-14;5.9994700000000004e-15;-999.0
25;-49.0627208333334;-0.635698611111111;5.28e+20;0.8;-999/-999;45596.3;7.68399e-15;2.23545e-15;6.995300000000001e-15;2.9392e-15;-999.0;5.79953e-15;2.9692e-15;-999.0;6.4369500000000006e-15;3.71883e-15;-999.0
26;-49.228345833333435;-0.5934077777777779;5.28e+20;0.8;-999/-999;43082.3;1.93143e-14;3.42769e-15;1.01549e-14;3.55937e-15;-999.0;1.57834e-14;4.86766e-15;-999.0;2.8035900000000003e-14;7.85957e-15;-999.0
27;-49.28757916666672;-0.6486072222222222;5.3e+20;0.8;-999/-999;46909.2;7.849150000000001e-15;2.3857600000000003e-15;5.63348e-15;2.91534e-15;-999.0;5.24901e-15;3.06351e-15;-999.0;1.03536e-14;5.3580100000000005e-15;-999.0
28;-49.176233333333414;-0.5748338888888889;5.27e+20;1.3980000000000001;+0.28/-0.21;43978.5;2.44057e-14;2.82592e-15;3.7099199999999994e-14;6.791540000000001e-15;-999.0;4.4279000000000005e-14;7.610460000000001e-15;-999.0;2.0473e-14;6.01935e-15;-999.0
29;-49.262370833333364;-0.8303869444444444;5.37e+20;0.8;-999/-999;46012.2;1.44863e-14;3.1378199999999998e-15;4.41038e-15;2.44715e-15;-999.0;1.22773e-14;4.42288e-15;-999.0;2.62277e-14;7.92024e-15;-999.0
30;-49.25809583333336;-0.603245;5.28e+20;0.8;-999/-999;44955.1;6.86879e-15;2.38448e-15;9.675850000000001e-16;1.27914e-15;-999.0;3.60982e-15;2.80658e-15;-999.0;1.78071e-14;7.269960000000001e-15;-999.0
31;-49.13690416666674;-0.5721227777777778;5.26e+20;0.8440000000000001;+0.23/-0.18;41125.3;3.6752099999999995e-14;4.3170000000000005e-15;2.7149200000000002e-14;5.2459699999999995e-15;-999.0;3.33306e-14;6.4403999999999995e-15;-999.0;3.86251e-14;8.63266e-15;-999.0
32;-49.17854166666672;-0.8726211111111112;5.37e+20;0.8;-999/-999;44469.7;8.99658e-15;2.6895600000000003e-15;1.61921e-14;4.8599899999999995e-15;-999.0;7.898269999999999e-15;-6.57762e-12;1.3239400000000001e-14;2.96143e-15;2.8792e-15;-999.0
33;-49.088708333333386;-0.8624216666666666;5.36e+20;0.8;-999/-999;41902.7;2.8337400000000003e-14;4.18264e-15;2.37211e-14;5.36791e-15;-999.0;1.60106e-14;4.9820599999999995e-15;-999.0;3.5516000000000004e-14;9.00748e-15;-999.0
34;-49.161350000000084;-0.8865916666666667;5.38e+20;0.8;-999/-999;45207.3;1.10571e-14;2.8397400000000003e-15;1.59253e-14;4.64736e-15;-999.0;6.245399999999999e-15;-6.94421e-12;1.62776e-14;1.0917399999999999e-14;5.36293e-15;-999.0
35;-49.152729166666745;-0.8853269444444444;5.38e+20;0.8;-999/-999;45631.4;8.32044e-15;2.69028e-15;1.44186e-14;5.04697e-15;-999.0;4.7014299999999996e-15;-6.57834e-12;1.68264e-14;3.76482e-15;3.43373e-15;-999.0
36;-49.33262500000001;-0.6915519444444445;5.33e+20;0.8;-999/-999;46682.6;1.75357e-14;3.4325200000000004e-15;1.15536e-14;3.87577e-15;-999.0;1.75078e-14;5.28744e-15;-999.0;1.64831e-14;6.39956e-15;-999.0
37;-49.277158333333375;-0.5917827777777778;5.28e+20;0.8;-999/-999;46664.6;1.67659e-14;3.27866e-15;1.34704e-14;4.06491e-15;-999.0;1.8272e-14;5.28426e-15;-999.0;9.017140000000001e-15;4.41986e-15;-999.0
38;-49.335741666666706;-0.7607647222222222;5.37e+20;0.8;-999/-999;46693.9;8.38694e-15;2.6895600000000003e-15;7.66122e-15;3.77145e-15;-999.0;1.57965e-15;1.8383e-15;-999.0;1.40119e-14;6.8977500000000005e-15;-999.0
39;-49.2573041666667;-0.5623794444444445;5.27e+20;0.122;+0.28/-0.21;40337.2;4.3228699999999997e-14;6.40262e-15;1.0890700000000002e-14;3.4524299999999996e-15;-999.0;2.04357e-14;5.69721e-15;-999.0;6.14082e-14;1.2782099999999999e-14;-999.0
40;-49.225504166666724;-0.8962144444444444;5.39e+20;0.8;-999/-999;42965.9;1.8763499999999998e-14;3.73775e-15;7.43808e-15;3.26731e-15;-999.0;1.37805e-14;4.84478e-15;-999.0;3.39592e-14;9.54883e-15;-999.0
41;-49.2985625;-0.850415;5.41e+20;0.8;-999/-999;42726.8;9.059170000000001e-15;2.84221e-15;7.18734e-15;3.5210000000000002e-15;-999.0;6.65022e-15;3.76614e-15;-999.0;9.83052e-15;5.5671999999999994e-15;-999.0
42;-49.319958333333375;-0.8574352777777777;5.42e+20;0.8;-999/-999;40958.2;1.34631e-14;3.4417200000000002e-15;2.37294e-14;6.447360000000001e-15;-999.0;1.82952e-15;1.9645900000000002e-15;-999.0;2.70412e-15;2.90376e-15;-999.0
43;-49.32229166666673;-0.8665630555555556;5.43e+20;0.8;-999/-999;39296.1;1.29189e-14;3.59232e-15;1.70923e-14;5.83406e-15;-999.0;5.2680399999999995e-15;3.55437e-15;-999.0;7.78571e-15;5.2530500000000004e-15;-999.0
44;-49.385245833333386;-0.7422327777777777;5.39e+20;0.575;+0.20/-0.16;38587.0;7.32378e-14;7.884449999999999e-15;2.30277e-14;5.600800000000001e-15;-999.0;6.88663e-14;1.11675e-14;-999.0;8.63164e-14;1.57407e-14;-999.0
45;24.693637499999994;-0.6725136111111111;2.65e+20;0.8;-999/-999;17176.0;9.71122e-15;3.69873e-15;4.28292e-15;3.26295e-15;-999.0;9.41844e-15;5.90822e-15;-999.0;1.43235e-14;8.98518e-15;-999.0
46;24.657624999999996;-0.6686836111111111;2.65e+20;0.8;-999/-999;17138.0;1.43976e-14;4.3836799999999995e-15;4.616470000000001e-15;3.28712e-15;-999.0;1.69171e-14;7.65094e-15;-999.0;2.0583000000000002e-14;1.0342700000000001e-14;-999.0
47;24.81966666666665;-0.6210669444444444;2.67e+20;0.8;-999/-999;15367.0;1.3210399999999999e-14;4.24948e-15;9.99991e-15;5.00359e-15;-999.0;1.95108e-14;8.467529999999999e-15;-999.0;1.88707e-14;-1.66835e-11;4.9113300000000004e-14
48;24.696104166666657;-0.49532583333333335;2.62e+20;0.8;-999/-999;15398.6;2.04713e-14;5.33676e-15;1.2027600000000002e-14;5.39408e-15;-999.0;1.7661500000000002e-14;7.92077e-15;-999.0;2.6867900000000003e-14;1.2049600000000001e-14;-999.0
49;24.863341666666656;-0.5856408333333334;2.67e+20;0.8;-999/-999;16277.1;1.39136e-14;4.52364e-15;8.19407e-15;-7.98105e-12;1.8085e-14;1.59856e-14;7.723520000000001e-15;-999.0;3.03827e-14;1.3332800000000001e-14;-999.0
50;24.580591666666663;-0.6724919444444444;2.63e+20;0.8;-999/-999;13686.3;2.92808e-14;6.29694e-15;1.8772299999999998e-14;6.7231800000000005e-15;-999.0;4.12916e-14;1.2160799999999998e-14;-999.0;1.04769e-14;7.33116e-15;-999.0
51;24.57530833333334;-0.6624166666666667;2.63e+20;0.8;-999/-999;13325.9;1.83296e-14;5.20182e-15;9.232899999999999e-15;4.97361e-15;-999.0;2.03235e-14;8.89575e-15;-999.0;2.0609099999999998e-14;1.1101799999999999e-14;-999.0
52;24.863604166666676;-0.5181958333333334;2.66e+20;0.8;-999/-999;17319.7;9.87986e-15;3.97387e-15;4.9827300000000004e-15;3.79993e-15;-999.0;7.29755e-15;5.5652700000000006e-15;-999.0;1.6650900000000002e-14;1.0412899999999998e-14;-999.0
53;24.810629166666672;-0.7864055555555556;2.69e+20;-0.33799999999999997;+0.26/-0.19;7121.0;1.2846700000000002e-13;1.8255e-14;1.1944e-14;4.59581e-15;-999.0;5.01471e-14;1.3819899999999999e-14;-999.0;2.2011300000000002e-13;3.8111000000000004e-14;-999.0
54;24.899308333333323;-0.5684155555555556;2.67e+20;0.8;-999/-999;16398.1;4.43043e-14;7.95064e-15;2.88305e-14;8.58864e-15;-999.0;4.21959e-14;1.25702e-14;-999.0;4.58272e-14;1.61718e-14;-999.0
55;24.728295833333334;-0.4387861111111111;2.63e+20;0.7559999999999999;+0.15/-0.12;14973.5;1.8725799999999998e-13;1.56167e-14;1.20753e-13;1.5787899999999998e-14;-999.0;1.56247e-13;2.17843e-14;-999.0;2.04142e-13;3.08284e-14;-999.0
56;24.932508333333317;-0.5957519444444445;2.68e+20;0.8;-999/-999;7297.5;8.10438e-14;1.1518899999999999e-14;4.7725199999999995e-14;1.2025799999999999e-14;-999.0;1.04743e-13;2.13773e-14;-999.0;5.30566e-14;1.89245e-14;-999.0
57;31.174004166666663;0.832301111111111;2.21e+20;0.8;-999/-999;8066.5;3.05458e-14;8.091599999999999e-15;1.44191e-14;7.25625e-15;-999.0;5.80337e-14;1.80866e-14;-999.0;0.0;-3.22657e-11;7.342410000000001e-14
58;31.26727916666667;0.8699991666666667;2.26e+20;0.8;-999/-999;8128.8;1.6158e-14;6.3497e-15;5.6113e-15;4.97141e-15;-999.0;1.6874e-14;1.05066e-14;-999.0;2.57654e-14;1.60428e-14;-999.0
59;31.190179166666667;0.6675958333333333;2.21e+20;0.8;-999/-999;8368.2;2.6985500000000003e-14;8.091599999999999e-15;1.75196e-14;8.575350000000001e-15;-999.0;8.812520000000001e-15;7.55107e-15;-999.0;5.388380000000001e-14;2.2737799999999998e-14;-999.0
60;31.306570833333325;0.8727577777777779;2.26e+20;0.8;-999/-999;8170.4;2.12512e-14;7.2954e-15;9.21856e-15;6.4176e-15;-999.0;6.93505e-15;-1.90212e-11;9.173869999999999e-14;6.352530000000001e-14;2.53832e-14;-999.0
61;31.073108333333323;0.80852;2.21e+20;0.21899999999999997;+0.22/-0.18;4042.5;1.94648e-13;2.60117e-14;8.87674e-14;1.69836e-14;-999.0;3.97376e-14;1.5641399999999997e-14;-999.0;2.6550700000000003e-13;5.0798699999999996e-14;-999.0
62;-51.04182500000002;-0.43094166666666667;7.96e+20;0.8;-999/-999;5364.8;3.7766699999999994e-14;1.26637e-14;9.23447e-15;9.05811e-15;-999.0;1.9746900000000004e-14;1.3658799999999999e-14;-999.0;8.533830000000001e-14;3.4330900000000006e-14;-999.0
63;-51.01725833333336;-0.3938183333333334;7.86e+20;0.8;-999/-999;4599.9;3.60552e-13;3.67747e-14;1.33923e-14;1.0746799999999999e-14;-999.0;1.15254e-13;3.1773e-14;-999.0;1.03845e-12;1.16608e-13;-999.0
64;-51.02720000000005;-0.5404038888888889;8.09e+20;0.8;-999/-999;5518.6;2.36405e-14;1.0292499999999999e-14;1.74343e-14;1.3218899999999999e-14;-999.0;9.255849999999999e-15;9.87921e-15;-999.0;3.9934e-14;2.46776e-14;-999.0
65;-50.829441666666696;-0.38946861111111114;7.39e+20;0.8;-999/-999;5518.6;3.01723e-14;1.26376e-14;6.48865e-14;2.71776e-14;-999.0;1.19301e-14;-2.99452e-11;1.1829000000000002e-13;5.18298e-14;-4.33742e-11;1.71337e-13
66;-10.263595833333397;0.24409027777777778;3.82e+20;0.958;+0.01/-0.01;20968.4;3.28937e-11;1.1334100000000001e-13;2.97963e-11;1.6034300000000002e-13;-999.0;3.23009e-11;1.9074300000000002e-13;-999.0;3.30166e-11;2.3249e-13;-999.0
67;-10.206308333333368;0.3162986111111111;3.87e+20;0.8;-999/-999;21470.0;2.94961e-14;4.7091e-15;1.61231e-14;4.70058e-15;-999.0;1.3107e-14;5.05302e-15;-999.0;5.90454e-14;1.2861500000000001e-14;-999.0
68;-10.361666666666736;0.2792788888888889;3.81e+20;0.8;-999/-999;21356.2;1.80459e-14;3.84561e-15;7.43677e-15;3.38827e-15;-999.0;1.51732e-14;5.5737e-15;-999.0;3.03942e-14;9.83279e-15;-999.0
69;-10.358254166666711;0.2323975;3.79e+20;0.8;-999/-999;22111.4;1.46183e-14;3.5585e-15;1.2042700000000001e-14;4.39571e-15;-999.0;1.6397400000000003e-14;5.9851999999999995e-15;-999.0;6.15741e-15;4.496899999999999e-15;-999.0
70;-10.335841666666681;0.34386055555555556;3.84e+20;0.8;-999/-999;21857.7;2.03733e-14;3.99196e-15;8.40094e-15;3.5202399999999998e-15;-999.0;1.7108000000000003e-14;5.78409e-15;-999.0;3.42649e-14;9.82236e-15;-999.0
71;-10.180237500000032;0.3009280555555555;3.87e+20;0.336;+0.22/-0.17;21131.0;6.12533e-14;7.60305e-15;2.7476999999999997e-14;5.5523499999999996e-15;-999.0;2.45959e-14;6.5254400000000006e-15;-999.0;7.96036e-14;1.52528e-14;-999.0
72;-10.264437500000042;0.3747383333333333;3.88e+20;0.8;-999/-999;22151.0;1.98422e-14;3.997e-15;5.27223e-15;2.8829999999999997e-15;-999.0;1.07038e-14;4.72291e-15;-999.0;4.82303e-14;1.20306e-14;-999.0
73;-10.196008333333396;0.34770277777777775;3.88e+20;0.8;-999/-999;21016.8;2.8778399999999996e-14;4.71075e-15;1.91112e-14;5.22179e-15;-999.0;3.10512e-14;7.7565e-15;-999.0;2.33163e-14;8.22009e-15;-999.0
74;-10.161458333333371;0.24862194444444444;3.86e+20;0.8;-999/-999;21376.3;1.49793e-14;3.70916e-15;1.8552200000000002e-14;5.54792e-15;-999.0;1.61739e-14;-9.33206e-12;2.77123e-14;1.88898e-14;8.21439e-15;-999.0
75;-10.378916666666726;0.2137716666666667;3.78e+20;0.8;-999/-999;21980.9;1.44851e-14;3.55725e-15;1.15018e-14;4.32931e-15;-999.0;5.223449999999999e-15;3.33367e-15;-999.0;2.35553e-14;8.86629e-15;-999.0
76;-10.231050000000039;0.39313333333333333;3.9e+20;0.8;-999/-999;21170.9;2.74538e-14;4.71372e-15;1.57262e-14;4.81756e-15;-999.0;3.72093e-14;8.606669999999999e-15;-999.0;1.59655e-14;6.98424e-15;-999.0
77;-10.409416666666687;0.23264444444444446;3.78e+20;0.8;-999/-999;20792.1;3.10477e-14;4.83786e-15;1.6424e-14;4.82469e-15;-999.0;2.2376499999999997e-14;6.57329e-15;-999.0;5.0456300000000004e-14;1.19962e-14;-999.0
78;-10.293600000000026;0.11006527777777778;3.76e+20;0.8;-999/-999;21173.6;2.0078599999999998e-14;4.1238e-15;1.85749e-14;5.53036e-15;-999.0;1.90012e-14;6.5036299999999995e-15;-999.0;9.52429e-15;5.47714e-15;-999.0
79;-10.434320833333345;0.26197305555555556;3.79e+20;0.9259999999999999;+0.07/-0.06;13482.3;4.560640000000001e-13;1.664e-14;3.56822e-13;2.15068e-14;-999.0;4.80995e-13;2.8220299999999998e-14;-999.0;4.6433e-13;3.3506e-14;-999.0
80;-10.320641666666688;0.11137472222222222;3.76e+20;0.8;-999/-999;20961.3;1.47746e-14;3.6972e-15;1.0116200000000001e-14;-6.83271e-12;1.80618e-14;1.11911e-14;5.1612699999999996e-15;-999.0;3.9251999999999996e-14;1.1639600000000001e-14;-999.0
81;-10.257654166666725;0.10552444444444445;3.77e+20;1.344;+0.15/-0.12;17894.4;8.74156e-14;5.92361e-15;1.4259200000000002e-13;1.4093100000000002e-14;-999.0;1.29899e-13;1.4536400000000002e-14;-999.0;7.4646e-14;1.2549299999999999e-14;-999.0
82;-10.188045833333376;0.12102222222222223;3.8e+20;0.26;+0.13/-0.11;16305.1;1.8723499999999998e-13;1.45771e-14;2.9738799999999996e-14;6.27407e-15;-999.0;1.4383599999999998e-13;1.73925e-14;-999.0;2.50973e-13;2.89688e-14;-999.0
83;-10.082633333333376;0.16908944444444443;3.86e+20;0.883;+0.09/-0.08;12323.3;2.75396e-13;1.46487e-14;1.9929400000000001e-13;1.73826e-14;-999.0;2.8117800000000003e-13;2.3835299999999997e-14;-999.0;2.8577e-13;2.9437e-14;-999.0
84;-4.415945833333353;0.26130722222222225;3.38e+20;0.8;-999/-999;9190.5;3.29191e-14;8.4264e-15;2.9965699999999995e-14;1.08741e-14;-999.0;3.4897500000000004e-14;1.38382e-14;-999.0;1.05325e-14;9.42157e-15;-999.0
85;-4.396770833333392;0.18911888888888886;3.36e+20;0.8;-999/-999;9615.9;2.38017e-14;7.15734e-15;2.7571299999999996e-14;1.03086e-14;-999.0;2.20298e-14;1.0880899999999999e-14;-999.0;7.62003e-15;-2.74763e-11;5.4952599999999994e-14
86;-4.38110000000006;0.14869527777777777;3.35e+20;0.8;-999/-999;9750.5;1.98384e-14;6.5941000000000004e-15;1.08235e-14;6.515e-15;-999.0;1.51547e-14;9.12212e-15;-999.0;3.05065e-14;1.59786e-14;-999.0
87;-4.507604166666681;0.29244472222222223;3.41e+20;0.8;-999/-999;9673.3;6.61288e-14;1.18087e-14;2.51084e-14;9.61488e-15;-999.0;5.6045e-14;1.6813499999999998e-14;-999.0;1.1627999999999999e-13;2.99005e-14;-999.0
88;-4.26406250000008;0.23975666666666667;3.36e+20;0.8;-999/-999;8565.5;3.5632300000000004e-14;8.98176e-15;5.759339999999999e-14;1.60118e-14;-999.0;1.00736e-14;8.00173e-15;-999.0;6.27183e-14;-3.44816e-11;1.00414e-13
89;-4.53567083333337;0.23036111111111113;3.4e+20;0.8;-999/-999;10049.5;2.0123900000000002e-14;6.88597e-15;3.66678e-15;3.9126e-15;-999.0;4.0955699999999995e-14;1.56282e-14;-999.0;7.723059999999999e-15;8.24081e-15;-999.0
90;-37.302070833333346;-0.24483222222222223;3.53e+20;0.8;-999/-999;18847.9;2.1818700000000002e-14;5.50407e-15;4.70393e-15;3.5092e-15;-999.0;2.92974e-14;1.00152e-14;-999.0;2.94313e-14;1.23476e-14;-999.0
91;-37.242770833333395;-0.2783730555555555;3.52e+20;0.8;-999/-999;11753.3;2.6073400000000003e-14;6.20796e-15;2.38762e-14;8.12151e-15;-999.0;2.64552e-14;1.0124700000000001e-14;-999.0;9.96848e-15;7.627400000000001e-15;-999.0
92;-37.32775833333335;-0.34970249999999997;3.53e+20;0.8;-999/-999;16981.3;1.78953e-14;5.22181e-15;2.2687e-14;8.045050000000001e-15;-999.0;1.04697e-14;6.3212200000000006e-15;-999.0;5.25998e-15;5.44285e-15;-999.0
93;-37.26557916666667;-0.20340083333333334;3.53e+20;0.8;-999/-999;19003.0;2.94256e-14;6.0685899999999995e-15;7.352e-15;4.07295e-15;-999.0;3.0528700000000004e-14;9.75387e-15;-999.0;5.1138e-14;1.56812e-14;-999.0
94;-37.243425;-0.36102416666666665;3.52e+20;1.8840000000000001;+0.22/-0.17;4568.4;5.69139e-14;5.18184e-15;3.57518e-13;3.4713699999999994e-14;-999.0;1.72652e-13;-3.84064e-11;3.0991e-13;5.48561e-14;1.46733e-14;-999.0
95;-37.39779583333342;-0.23151750000000001;3.54e+20;0.8029999999999999;+0.20/-0.16;17956.2;1.07419e-13;1.15489e-14;7.22471e-14;1.28828e-14;-999.0;9.65229e-14;1.7475799999999997e-14;-999.0;1.15346e-13;2.33387e-14;-999.0
96;-37.405333333333374;-0.43122750000000004;3.54e+20;0.72;+0.12/-0.10;10993.3;2.91946e-13;1.95533e-14;1.64495e-13;1.9257599999999998e-14;-999.0;2.54213e-13;2.7554400000000003e-14;-999.0;3.23833e-13;3.9593699999999995e-14;-999.0
97;-37.48303750000002;-0.3515644444444444;3.54e+20;0.8;-999/-999;18753.3;5.19119e-14;8.75316e-15;2.71988e-14;8.63841e-15;-999.0;8.14762e-14;1.73585e-14;-999.0;1.88912e-14;1.0292499999999999e-14;-999.0
98;-37.495279166666705;-0.2778411111111111;3.55e+20;0.8;-999/-999;18791.1;1.86141e-14;5.93166e-15;2.19494e-14;8.83674e-15;-999.0;1.01105e-14;7.04941e-15;-999.0;1.01578e-14;8.49634e-15;-999.0
99;-37.49000416666672;-0.34981833333333334;3.54e+20;0.8;-999/-999;18007.3;2.0315799999999998e-14;6.21192e-15;2.23362e-14;8.88685e-15;-999.0;1.02991e-14;6.91617e-15;-999.0;1.55197e-14;1.0422e-14;-999.0
100;-34.34289166666673;0.46985055555555555;4.37e+20;0.8;-999/-999;2822.2;5.883290000000001e-14;2.0297200000000002e-14;4.46763e-14;2.40861e-14;-999.0;0.0;-5.05766e-11;1.93702e-13;1.31524e-13;6.14139e-14;-999.0
101;-34.51265416666672;0.3440125;4.38e+20;0.8;-999/-999;2346.2;6.69122e-14;2.32032e-14;1.27102e-13;4.4075199999999993e-14;-999.0;0.0;-5.77789e-11;5.51033e-13;1.49514e-13;-8.6316e-11;8.23189e-13
102;-34.31677916666672;0.6143169444444444;4.37e+20;0.8;-999/-999;3021.1;7.882560000000001e-14;2.4646599999999998e-14;2.99494e-14;2.03452e-14;-999.0;7.863060000000001e-14;4.00926e-14;-999.0;1.1748e-13;5.99015e-14;-999.0
103;-34.39530833333339;0.2777469444444444;4.35e+20;0.8;-999/-999;2913.8;5.4927800000000004e-14;2.17335e-14;6.25009e-14;3.2267400000000005e-14;-999.0;2.7407999999999997e-14;2.3573099999999998e-14;-999.0;4.09581e-14;3.5227300000000005e-14;-999.0
