,ID,RA,DEC,countrates_0.3-10keV(ph.s-1),countrates_error_0.3-10keV(ph.s-1),exposure_time(s),countrates_0.3-1keV(ph.s-1),countrates_error_0.3-1keV(ph.s-1),upper_limit_0.3-1keV(ph.s-1),countrates_1-2keV(ph.s-1),countrates_error_1-2keV(ph.s-1),upper_limit_1-2keV(ph.s-1),countrates_2-10keV(ph.s-1),countrates_error_2-10keV(ph.s-1),upper_limit_2-10keV(ph.s-1)
920,1148,58.26907916666666,0.054039722222222225,0.0008799,7.7e-05,213454.0,2.666e-05,1.371e-05,-999.0,0.0002222,3.903e-05,-999.0,0.0006311,6.54e-05,-999.0
921,1149,58.318208333333324,0.0241875,0.0001476,3.8e-05,274539.0,1.341e-05,1.161e-05,-999.0,4.025e-05,2.006e-05,-999.0,9.393e-05,3.061e-05,-999.0
922,1151,58.26792083333333,0.008022222222222222,0.00037610000000000003,5.2e-05,251360.0,6.268e-05,2.152e-05,-999.0,0.00014890000000000001,3.228e-05,-999.0,0.0001646,3.407e-05,-999.0
923,1153,58.317991666666664,-0.012156666666666668,0.00011850000000000001,3.6e-05,284961.0,3.703e-05,2.02e-05,-999.0,4.073e-05,2.107e-05,-999.0,4.073e-05,2.107e-05,-999.0
924,1155,58.33879166666666,-0.004405,0.0001899,4.1e-05,286038.0,9.496e-05,2.916e-05,-999.0,4.498e-05,2.004e-05,-999.0,4.998e-05,2.096e-05,-999.0
925,5855,58.29739999999999,-0.022646666666666666,0.0001841,4.4e-05,249865.0,3.069e-05,1.817e-05,-999.0,7.364e-05,2.774e-05,-999.0,7.982e-05,2.87e-05,-999.0
926,1160,58.32435833333332,0.11302972222222223,0.0003708,5.4e-05,214370.0,4.362e-05,1.8e-05,-999.0,0.0001418,3.316e-05,-999.0,0.0001854,3.789e-05,-999.0
927,1162,58.23157916666666,0.09531361111111111,0.00024819999999999996,4.7e-05,199087.0,7.445e-05,2.6e-05,-999.0,6.204e-05,2.3e-05,-999.0,0.0001117,3.1e-05,-999.0
928,1164,58.25436249999999,-0.035902222222222224,0.00034389999999999996,5e-05,261473.0,0.00013619999999999998,3.125e-05,-999.0,0.0001038,2.75e-05,-999.0,0.0001038,2.75e-05,-999.0
929,1166,58.29398333333333,0.13780333333333333,0.00028199999999999997,4.9e-05,203484.0,4.029e-05,1.895e-05,-999.0,8.054e-05,2.613e-05,-999.0,0.0001612,3.724e-05,-999.0
930,1854,58.385124999999995,0.0654688888888889,0.0001274,3.7e-05,268159.0,5.365e-05,2.362e-05,-999.0,3.353e-05,1.889e-05,-999.0,4.023e-05,2.047e-05,-999.0
931,1168,58.25525833333332,-0.05188388888888889,0.000308,4.8e-05,263094.0,4.507e-05,1.851e-05,-999.0,9.762e-05,2.743e-05,-999.0,0.0001652,3.497e-05,-999.0
932,1169,58.36268333333332,-0.02552472222222222,0.00014419999999999998,3.8e-05,287322.0,1.602e-05,1.242e-05,-999.0,4.272e-05,2.046e-05,-999.0,8.542e-05,2.923e-05,-999.0
933,1171,58.19318333333333,0.00964111111111111,0.00034789999999999995,5.3e-05,209099.0,4.092e-05,1.789e-05,-999.0,0.0001535,3.511e-05,-999.0,0.0001535,3.511e-05,-999.0
934,1175,58.370120833333324,0.12015055555555555,0.0001518,3.9e-05,236481.0,2.278e-05,1.489e-05,-999.0,6.074e-05,2.482e-05,-999.0,6.837e-05,2.624e-05,-999.0
935,1176,58.27620833333333,0.1563561111111111,0.00016969999999999998,3.9e-05,207933.0,3.771e-05,1.851e-05,-999.0,6.6e-05,2.446e-05,-999.0,6.6e-05,2.446e-05,-999.0
936,1177,58.199058333333326,-0.034312777777777775,0.00045579999999999997,6e-05,192592.0,3.798e-05,1.714e-05,-999.0,0.0001899,3.89e-05,-999.0,0.00022789999999999998,4.22e-05,-999.0
937,1178,58.22459166666666,-0.05998361111111111,0.0003506,5.5e-05,200446.0,9.863e-05,2.916e-05,-999.0,9.863e-05,2.916e-05,-999.0,0.00015340000000000002,3.645e-05,-999.0
938,1179,58.18463333333332,0.10377611111111111,0.00023500000000000002,4.5e-05,202416.0,4.476e-05,1.977e-05,-999.0,0.00010070000000000001,2.932e-05,-999.0,8.951e-05,2.795e-05,-999.0
939,1180,58.354029166666656,0.1512147222222222,0.00033489999999999995,5e-05,214434.0,0.0001072,2.826e-05,-999.0,6.698e-05,2.246e-05,-999.0,0.0001607,3.406e-05,-999.0
940,1181,58.41166666666666,0.07376277777777777,0.000131,3.7e-05,276441.0,3.082e-05,1.766e-05,-999.0,7.707e-05,2.775e-05,-999.0,2.312e-05,1.514e-05,-999.0
941,1183,58.17228333333333,-0.016585833333333334,0.0002889,5.2e-05,174249.0,7.602e-05,2.707e-05,-999.0,9.127e-05,2.921e-05,-999.0,0.0001217,3.419e-05,-999.0
942,1184,58.32534166666666,-0.08949444444444445,0.0002386,4.5e-05,280460.0,4.911e-05,2.032e-05,-999.0,8.419e-05,2.685e-05,-999.0,0.00010520000000000001,2.976e-05,-999.0
943,1185,58.43541249999999,0.037530277777777774,0.000188,4.2e-05,292194.0,6.065e-05,2.358e-05,-999.0,2.425e-05,1.474e-05,-999.0,0.00010309999999999999,3.095e-05,-999.0
944,1870,58.35501249999999,-0.0866711111111111,0.00013700000000000002,3.9e-05,261906.0,3.424e-05,1.95e-05,-999.0,3.994e-05,2.089e-05,-999.0,6.278e-05,2.646e-05,-999.0
945,1187,58.357229166666656,0.1715911111111111,0.0003028,5.1e-05,194587.0,5.343e-05,2.186e-05,-999.0,3.562e-05,1.781e-05,-999.0,0.0002137,4.29e-05,-999.0
946,1188,58.25089166666666,-0.0997686111111111,0.0001701,4.3e-05,238223.0,1.962e-05,1.478e-05,-999.0,4.578e-05,2.217e-05,-999.0,0.0001047,3.359e-05,-999.0
947,1189,58.27987916666666,0.19026416666666665,0.002918,0.00014,88228.9,0.00017869999999999998,3.422e-05,-999.0,0.00131,9.333e-05,-999.0,0.00143,9.333e-05,-999.0
948,1192,58.22040833333333,0.17814638888888887,0.002163,0.00013000000000000002,61719.7,0.0006008999999999999,7.02e-05,-999.0,0.000721,7.627e-05,-999.0,0.0008412000000000001,8.32e-05,-999.0
949,1194,58.156720833333324,-0.04004138888888889,0.0009728,8.2e-05,145440.0,0.00029189999999999994,4.518e-05,-999.0,0.00036480000000000003,5.02e-05,-999.0,0.0003161,4.686e-05,-999.0
950,1195,58.13625,0.010827777777777776,0.0005184,6.9e-05,133789.0,0.00015549999999999999,3.864e-05,-999.0,0.00020739999999999997,4.485e-05,-999.0,0.00015549999999999999,3.864e-05,-999.0
951,1197,58.450958333333325,0.07144916666666666,0.0004951,6.3e-05,209526.0,0.0001016,2.872e-05,-999.0,0.0002158,4.169e-05,-999.0,0.00017769999999999998,3.706e-05,-999.0
952,1198,58.35642083333333,-0.10539888888888889,0.0001365,3.8e-05,281027.0,3.412e-05,1.9e-05,-999.0,3.412e-05,1.9e-05,-999.0,6.825e-05,2.7e-05,-999.0
953,1201,58.451158333333325,-0.012548055555555555,0.0001381,3.9e-05,291063.0,4.605e-05,2.229e-05,-999.0,1.973e-05,1.512e-05,-999.0,7.235e-05,2.786e-05,-999.0
954,1202,58.43997916666666,0.12039583333333334,0.0004832,6.8e-05,157509.0,3.02e-05,1.722e-05,-999.0,0.0002719,5.078e-05,-999.0,0.00018119999999999999,4.132e-05,-999.0
955,1203,58.22715833333333,-0.11162888888888889,0.00027289999999999997,5.2e-05,197910.0,0.00010680000000000001,3.259e-05,-999.0,9.494e-05,3.051e-05,-999.0,7.12e-05,2.635e-05,-999.0
956,1206,58.38251249999999,0.19942749999999998,0.0010710000000000001,9.4e-05,104852.0,0.00022319999999999998,4.273e-05,-999.0,0.0003125,5.127e-05,-999.0,0.0005357000000000001,6.665e-05,-999.0
957,1207,58.16707916666666,-0.08826666666666666,0.000866,8.4e-05,140340.0,0.0005972999999999999,7e-05,-999.0,0.0001791,3.827e-05,-999.0,8.959e-05,2.707e-05,-999.0
958,1208,58.3140125,-0.13865916666666667,0.0002364,4.6e-05,277858.0,3.151e-05,1.679e-05,-999.0,0.0001024,3.067e-05,-999.0,0.0001024,3.067e-05,-999.0
959,1893,58.46901249999999,-0.013862777777777778,0.0001745,4.5e-05,249593.0,6.231e-05,2.719e-05,-999.0,6.231e-05,2.719e-05,-999.0,4.985e-05,2.437e-05,-999.0
960,1211,58.397520833333324,0.21890333333333334,0.0063880000000000004,0.00022,60534.4,0.001009,8.462e-05,-999.0,0.002017,0.00012690000000000002,-999.0,0.0033619999999999995,0.0001608,-999.0
961,1223,5.504358333333332,0.11632333333333333,0.05828,0.0033,5896.2,0.02817,0.0022789999999999998,-999.0,0.0221,0.002043,-999.0,0.008013,0.001257,-999.0
962,1224,5.373470833333332,0.10682027777777778,0.0015119999999999999,0.00063,6053.6,0.0006046000000000001,0.00038369999999999995,-999.0,0.00030230000000000003,0.00027489999999999996,-999.0,0.0006046000000000001,0.00038369999999999995,-999.0
963,1225,5.447745833333332,0.008569444444444446,0.03067,0.0025,5848.8,0.01065,0.001466,-999.0,0.01065,0.001466,-999.0,0.00936,0.001379,-999.0
964,1226,5.564345833333332,0.022724166666666667,0.0034590000000000003,0.00093,6009.4,0.001153,0.0005306,-999.0,0.001153,0.0005306,-999.0,0.001153,0.0005306,-999.0
965,1227,5.580670833333332,0.020666388888888887,0.001484,0.00065,6043.9,0.0004947,-0.6493,1.32,0.0004947,-0.6493,1.32,0.001484,0.00065,-999.0
966,1228,5.558591666666666,-0.02021222222222222,0.0018920000000000002,0.00073,5860.1,0.00031539999999999997,0.0003103,-999.0,0.0006306,0.00043799999999999997,-999.0,0.0009466000000000001,0.0005353,-999.0
967,1229,5.299104166666666,0.028336666666666666,0.002581,0.0008900000000000001,5987.0,0.0008607000000000002,0.0005272,-999.0,0.0008607000000000002,0.0005272,-999.0,0.0008607000000000002,0.0005272,-999.0
968,1230,20.368141666666666,-0.6539444444444444,0.0109,0.0011,10257.5,0.001865,0.000462,-999.0,0.006742000000000001,0.00088,-999.0,0.0022949999999999997,0.0005059999999999999,-999.0
969,1231,20.471687499999998,-0.5337138888888889,0.001374,0.00045999999999999996,10348.9,0.0003435,0.00022999999999999998,-999.0,0.0005153,0.00028450000000000003,-999.0,0.0005153,0.00028450000000000003,-999.0
970,1232,20.527075,-0.6685541666666667,0.001834,0.00056,8111.4,0.0009163999999999999,0.00039739999999999996,-999.0,0.0006112,0.0003252,-999.0,0.0003056,0.00022880000000000003,-999.0
