RA;DEC;NH;ENERGY_SLOPE;ENERGY_SLOPE_ERROR;nufnu_5keV(erg.s-1.cm-2);nufnu_error_5keV(erg.s-1.cm-2);nufnu_0.5keV(erg.s-1.cm-2);nufnu_error_0.5keV(erg.s-1.cm-2);upper_limit_0.5keV(erg.s-1.cm-2);nufnu_1.5keV(erg.s-1.cm-2);nufnu_error_1.5keV(erg.s-1.cm-2);upper_limit_1.5keV(erg.s-1.cm-2);nufnu_4.5keV(erg.s-1.cm-2);nufnu_error_4.5keV(erg.s-1.cm-2);upper_limit_4.5keV(erg.s-1.cm-2)
01:27:13.837;+01:13:19.386;2.78E+20;0.8;-999/-999;5.10878e-14;1.12783e-14;1.63678e-14;8.1302e-15;-9.990E+02;8.72e-14;2.25769e-14;-9.990E+02;1.20366e-14;1.03663e-14;-9.990E+02
01:27:12.912;+01:14:19.917;2.79E+20;0.8;-999/-999;2.97449e-14;8.99514e-15;2.04244e-14;9.4022e-15;-9.990E+02;9.88828e-15;7.8872e-15;-9.990E+02;4.50383e-14;2.0733e-14;-9.990E+02
01:26:50.315;+01:16:11.448;2.84E+20;0.8;-999/-999;2.53668e-14;8.24688e-15;2.03664e-14;9.15177e-15;-9.990E+02;5.89672e-15;5.92512e-15;-9.990E+02;3.57951e-14;1.79865e-14;-9.990E+02
01:27:29.455;+01:08:31.981;2.75E+20;0.8;-999/-999;2.71005e-14;8.67825e-15;3.37129e-14;1.2635e-14;-9.990E+02;1.40292e-14;9.90482e-15;-9.990E+02;3.83651e-14;-3.0677e-11;3.95935e-11
01:26:38.993;+01:06:23.964;2.92E+20;0.8;-999/-999;2.3432e-14;8.42325e-15;2.15835e-14;1.0329e-14;-9.990E+02;7.76795e-15;7.43392e-15;-9.990E+02;2.35558e-14;1.57847e-14;-9.990E+02
01:27:28.045;+01:21:38.720;2.75E+20;-0.675;+0.30/-0.22;4.8975e-13;7.0722e-14;1.62344e-14;6.68294e-15;-9.990E+02;5.11439e-14;1.82294e-14;-9.990E+02;4.09641e-13;6.9209e-14;-9.990E+02
01:26:50.378;+01:16:11.311;2.84E+20;0.8;-999/-999;2.37174e-14;6.41424e-15;2.22306e-14;7.81494e-15;-9.990E+02;4.59383e-15;4.37017e-15;-9.990E+02;2.79011e-14;1.32662e-14;-9.990E+02
01:27:13.375;+01:14:23.941;2.78E+20;0.285;+0.44/-0.28;6.81642e-14;1.49471e-14;1.50026e-14;6.11748e-15;-9.990E+02;2.54458e-14;1.03758e-14;-9.990E+02;6.28717e-14;2.11069e-14;-9.990E+02
01:26:59.117;+01:12:47.423;2.82E+20;0.514;+0.48/-0.30;4.77771e-14;1.0729e-14;1.07628e-14;5.30082e-15;-9.990E+02;3.39166e-14;1.15838e-14;-9.990E+02;4.50503e-14;1.71758e-14;-9.990E+02
01:27:13.860;+01:13:19.311;2.78E+20;0.8;-999/-999;4.53572e-14;8.68737e-15;1.3626e-14;5.93529e-15;-9.990E+02;7.25839e-14;1.66524e-14;-9.990E+02;2.00484e-14;1.08405e-14;-9.990E+02
01:27:11.462;+01:20:23.510;2.79E+20;0.8;-999/-999;1.52917e-14;5.3361e-15;4.59359e-15;-8.54457e-12;2.30852e-11;2.03194e-14;9.3135e-15;-9.990E+02;2.31468e-14;1.22577e-14;-9.990E+02
01:27:28.140;+01:21:39.220;2.75E+20;-0.683;+0.26/-0.20;3.99589e-13;5.08879e-14;1.21811e-14;4.68704e-15;-9.990E+02;4.33012e-14;1.34753e-14;-9.990E+02;3.33977e-13;5.04766e-14;-9.990E+02
