OBJID;RA;DEC;countrates_0.3-10keV(ph.s-1);countrates_error_0.3-10keV(ph.s-1);exposure_time(s);countrates_0.3-1keV(ph.s-1);countrates_error_0.3-1keV(ph.s-1);upper_limit_0.3-1keV(ph.s-1);countrates_1-2keV(ph.s-1);countrates_error_1-2keV(ph.s-1);upper_limit_1-2keV(ph.s-1);countrates_2-10keV(ph.s-1);countrates_error_2-10keV(ph.s-1);upper_limit_2-10keV(ph.s-1)
3998;34.22195416666665;1.143235;0.004915;0.00065;10242.3;0.0020239999999999998;0.0004008;-999.0;0.001446;0.00033580000000000003;-999.0;0.001446;0.00033580000000000003;-999.0
3999;34.35604999999998;1.3220652777777777;0.005336;0.0006799999999999999;10405.2;0.002075;0.00041930000000000005;-999.0;0.0029649999999999998;0.0005043000000000001;-999.0;0.0002965;0.0001587;-999.0
4000;34.37954583333334;1.2227633333333334;0.002223;0.00045999999999999996;10405.3;0.001112;0.00032669999999999997;-999.0;0.00037060000000000006;0.0001867;-999.0;0.0007411000000000001;0.0002667;-999.0
4001;34.14033333333333;1.2111013888888889;0.002704;0.0005099999999999999;9375.7;0.002318;0.0004731;-999.0;0.0003863;0.0001905;-999.0;0.0009015000000000001;-0.5095;0.0025559999999999997
4002;34.17595;1.3411458333333333;0.0024760000000000003;0.00049;10392.2;0.0009906000000000001;0.0003083;-999.0;0.001485;0.0003799;-999.0;0.0008252000000000001;-0.4895;0.001639
4003;34.14324583333334;1.1808283333333334;0.003385;0.00057;9350.4;0.0008461;0.00028819999999999996;-999.0;0.00042300000000000004;0.0002049;-999.0;0.002116;0.0004547;-999.0
4004;34.32376249999999;1.1229069444444444;0.0041259999999999995;0.00064;7221.8;0.0033020000000000002;0.0005656000000000001;-999.0;0.0005157;-0.6394;0.0054600000000000004;0.0008255000000000001;0.00028280000000000004;-999.0
4005;34.27973750000001;1.0842377777777776;0.009470000000000001;0.00093;7876.5;0.003788;0.000589;-999.0;0.002526;0.00048360000000000005;-999.0;0.003156;0.0005394;-999.0
4006;34.410545833333344;1.1737875;0.006821;0.00082;7163.7;0.006821;0.00082;-999.0;0.001819;-0.8192;0.005628;0.002273;-0.8192;0.005628
4007;34.383033333333316;1.1289272222222222;0.005104999999999999;0.00072;7867.9;0.0005105;0.000234;-999.0;0.002042;0.00047400000000000003;-999.0;0.002552;0.000528;-999.0
4008;34.2439;1.0760891666666668;0.0057079999999999995;0.00078;6680.0;0.0057079999999999995;0.00078;-999.0;0.002283;-0.7792;0.004187;0.002853;-0.7792;0.004187
4009;34.499508333333324;1.3214802777777777;0.1711;0.0047;2066.0;0.061110000000000005;0.00282;-999.0;0.06112000000000001;0.00282;-999.0;0.048889999999999996;0.002564;-999.0
4014;23.468895833333335;1.2288886111111113;0.027780000000000003;0.0042;1908.5;0.01208;0.0027489999999999997;-999.0;0.008454999999999999;0.002291;-999.0;0.007247;0.0021379999999999997;-999.0
4015;23.450029166666667;1.110621388888889;0.004359;0.0018;2011.6;0.0026149999999999997;0.001364;-999.0;0.001327;-1.798;0.005759;0.001744;0.001145;-999.0
4049;33.53659583333334;-0.2989786111111111;0.001265;0.00042;10194.1;0.0009033;0.0003578;-999.0;0.0001807;0.0001633;-999.0;0.0001807;0.0001633;-999.0
4050;33.55601250000001;-0.1892097222222222;0.001005;0.00039;10057.3;0.00033489999999999995;0.0002262;-999.0;0.00033489999999999995;0.0002262;-999.0;0.00033489999999999995;0.0002262;-999.0
4051;33.614125;-0.30518055555555557;0.0038450000000000003;0.0007099999999999999;10570.4;0.001442;0.00044239999999999997;-999.0;0.0008011000000000001;0.00032769999999999994;-999.0;0.001602;0.00046419999999999995;-999.0
4052;33.428425000000004;-0.14628083333333333;0.001916;0.00053;10265.7;0.0001742;0.0001618;-999.0;0.0001742;0.0001618;-999.0;0.001568;0.0004798;-999.0
4053;33.43749166666666;-0.3509472222222222;0.001199;0.00043;10845.6;0.001199;0.00043;-999.0;0.000109;-0.4296;0.001582;0.000981;-0.4296;0.001582
4054;33.38407916666665;-0.14433944444444444;0.003281;0.0007;10822.7;0.001025;0.00040730000000000003;-999.0;0.001436;0.00047729999999999995;-999.0;0.0008205;0.0003627;-999.0
4073;54.19691666666665;0.5871938888888889;1.8969999999999998;0.019;5098.3;0.8048;0.01229;-999.0;0.8019;0.01229;-999.0;0.2901;0.007265000000000001;-999.0
4074;54.108599999999996;0.6427091666666667;0.0019809999999999997;0.00074;5230.3;0.0004952;0.00037;-999.0;0.0009902;0.0005242000000000001;-999.0;0.0004952;0.00037;-999.0
4075;54.08914583333333;0.48929694444444444;0.0016120000000000002;0.00067;5499.1;0.0008061;0.000469;-999.0;0.00026869999999999997;0.00027319999999999997;-999.0;0.0005372;0.0003865;-999.0
4076;53.99063749999999;0.5727355555555556;0.004529999999999999;0.0012;4587.6;0.001812;0.0007765;-999.0;0.002718;0.0009176;-999.0;0.00151;-1.199;0.005984000000000001
4150;0.9205583333333323;0.07516;0.0017620000000000001;0.00054;8428.3;0.001259;0.0004569;-999.0;0.00025180000000000005;0.0002077;-999.0;0.00025180000000000005;0.0002077;-999.0
4151;0.8244416666666723;0.14788833333333334;0.001611;0.0005200000000000001;8802.4;0.001007;0.00041289999999999995;-999.0;0.00020140000000000002;0.0001835;-999.0;0.00040280000000000003;0.00026000000000000003;-999.0
4152;0.8987500000000068;0.034631944444444444;0.001152;0.00045;9235.2;0.000192;0.0001882;-999.0;0.000384;0.0002618;-999.0;0.0005761;0.0003191;-999.0
4153;0.85967500000001;0.19901694444444443;0.001912;0.00056;8673.0;0.00047780000000000007;0.000283;-999.0;0.0009558;0.00039739999999999996;-999.0;0.00047780000000000007;0.000283;-999.0
4154;0.9797166666666612;0.12621666666666667;0.003435;0.00073;9179.6;0.002061;0.000584;-999.0;0.001145;0.00043799999999999997;-999.0;0.000229;0.0001947;-999.0
4155;0.8127583333333348;0.037945;0.001943;0.00056;9321.0;0.001166;-0.5594;0.0016079999999999998;0.001215;0.00044800000000000005;-999.0;0.0007287000000000001;0.00034260000000000003;-999.0
4156;0.8756208333333291;-0.002461944444444444;0.0046170000000000004;0.00085;9174.8;0.003518;0.0007286;-999.0;0.0006596;0.0003279;-999.0;0.0004397;0.00026710000000000004;-999.0
4157;1.0115166666666653;0.16264666666666666;0.00193;0.00057;9582.8;0.001072;0.00042290000000000003;-999.0;0.0006435;0.000331;-999.0;0.0002145;0.00018999999999999998;-999.0
