,OBJID,RA,DEC,NH,ENERGY_SLOPE,ENERGY_SLOPE_ERROR,EXPOSURE_TIME,nufnu_3keV(erg.s-1.cm-2),nufnu_error_3keV(erg.s-1.cm-2),nufnu_0.5keV(erg.s-1.cm-2),nufnu_error_0.5keV(erg.s-1.cm-2),upper_limit_0.5keV(erg.s-1.cm-2),nufnu_1.5keV(erg.s-1.cm-2),nufnu_error_1.5keV(erg.s-1.cm-2),upper_limit_1.5keV(erg.s-1.cm-2),nufnu_4.5keV(erg.s-1.cm-2),nufnu_error_4.5keV(erg.s-1.cm-2),upper_limit_4.5keV(erg.s-1.cm-2),OBJID,ALPHA_J2000,DELTA_J2000,MAG_AUTO,MAGERR_AUTO,CLASS_STAR,FLUX_RADIUS,FLAGS
14,60,31.306570833333325,0.8727577777777779,2.26e+20,0.8,-999/-999,8170.4,2.12512e-14,7.2954e-15,9.21856e-15,6.4176e-15,-999.0,6.93505e-15,-1.90212e-11,9.173869999999999e-14,6.352530000000002e-14,2.53832e-14,-999.0,13083527,31.307017996559505,0.8736040947064824,20.304515838623047,0.006930643226951361,0.028858067467808723,4.7308759689331055,0
15,61,31.073108333333327,0.80852,2.21e+20,0.219,+0.22/-0.18,4042.5,1.94648e-13,2.60117e-14,8.87674e-14,1.69836e-14,-999.0,3.97376e-14,1.5641399999999997e-14,-999.0,2.655070000000001e-13,5.07987e-14,-999.0,13076823,31.072834083024656,0.8083048804884788,19.99162483215332,0.0041822525672614574,0.13245421648025513,3.872624397277832,3
16,73,-10.196008333333397,0.3477027777777777,3.88e+20,0.8,-999/-999,21016.8,2.8778399999999996e-14,4.71075e-15,1.91112e-14,5.22179e-15,-999.0,3.10512e-14,7.7565e-15,-999.0,2.33163e-14,8.22009e-15,-999.0,7148742,-10.196995835665348,0.348173195544286,24.715099334716797,0.19311587512493134,0.48955121636390686,2.29652738571167,0
17,76,-10.231050000000039,0.3931333333333333,3.9e+20,0.8,-999/-999,21170.9,2.74538e-14,4.71372e-15,1.57262e-14,4.81756e-15,-999.0,3.72093e-14,8.606669999999999e-15,-999.0,1.59655e-14,6.98424e-15,-999.0,7153127,-10.230986225176366,0.392914048258585,20.97632598876953,0.008253190666437149,0.9708676934242249,2.1837384700775146,0
18,82,-10.188045833333376,0.12102222222222225,3.8e+20,0.26,+0.13/-0.11,16305.1,1.8723499999999998e-13,1.45771e-14,2.9738799999999996e-14,6.27407e-15,-999.0,1.4383599999999996e-13,1.73925e-14,-999.0,2.50973e-13,2.89688e-14,-999.0,7129206,-10.187848218632837,0.12072047726290125,18.52275276184082,0.002324784640222788,0.02863866463303566,4.864214897155762,0
19,83,-10.082633333333376,0.16908944444444446,3.86e+20,0.883,+0.09/-0.08,12323.3,2.75396e-13,1.46487e-14,1.9929400000000001e-13,1.73826e-14,-999.0,2.811780000000001e-13,2.38353e-14,-999.0,2.8577e-13,2.9437e-14,-999.0,7133221,-10.082657748177837,0.16902281909630895,19.252365112304688,0.0026497174985706806,0.9802693128585815,2.2706990242004395,2
20,84,-4.415945833333353,0.26130722222222225,3.38e+20,0.8,-999/-999,9190.5,3.29191e-14,8.4264e-15,2.9965699999999995e-14,1.08741e-14,-999.0,3.489750000000001e-14,1.38382e-14,-999.0,1.05325e-14,9.42157e-15,-999.0,6422765,-4.416116749853927,0.2616051444979694,20.108047485351562,0.005579746328294277,0.029435059055685997,3.314577341079712,0
21,85,-4.396770833333393,0.18911888888888886,3.36e+20,0.8,-999/-999,9615.9,2.38017e-14,7.15734e-15,2.7571300000000002e-14,1.03086e-14,-999.0,2.20298e-14,1.0880899999999999e-14,-999.0,7.62003e-15,-2.74763e-11,5.4952599999999994e-14,6231616,-4.395997217552633,0.18806274723956015,24.0186767578125,0.16109292209148407,0.047480687499046326,2.6820123195648193,0
22,86,-4.38110000000006,0.14869527777777775,3.35e+20,0.8,-999/-999,9750.5,1.98384e-14,6.5941000000000004e-15,1.08235e-14,6.515e-15,-999.0,1.51547e-14,9.12212e-15,-999.0,3.05065e-14,1.59786e-14,-999.0,6227337,-4.380337970056189,0.14881873352843164,21.901081085205078,0.021766886115074158,0.9814040660858154,1.5335972309112549,2
23,87,-4.507604166666682,0.29244472222222223,3.41e+20,0.8,-999/-999,9673.3,6.61288e-14,1.18087e-14,2.51084e-14,9.61488e-15,-999.0,5.6045e-14,1.6813499999999998e-14,-999.0,1.1627999999999999e-13,2.99005e-14,-999.0,6425244,-4.507686942251439,0.2922515799671254,22.31017303466797,0.041177768260240555,0.011373070999979973,3.5436182022094727,3
