RA;DEC;NH;ENERGY_SLOPE;ENERGY_SLOPE_ERROR;nufnu_5keV(erg.s-1.cm-2);nufnu_error_5keV(erg.s-1.cm-2);nufnu_0.5keV(erg.s-1.cm-2);nufnu_error_0.5keV(erg.s-1.cm-2);upper_limit_0.5keV(erg.s-1.cm-2);nufnu_1.5keV(erg.s-1.cm-2);nufnu_error_1.5keV(erg.s-1.cm-2);upper_limit_1.5keV(erg.s-1.cm-2);nufnu_4.5keV(erg.s-1.cm-2);nufnu_error_4.5keV(erg.s-1.cm-2);upper_limit_4.5keV(erg.s-1.cm-2)
01:31:22.660;+33:37:57.931;4.59E+20;0.8;-999/-999;9.25884e-15;1.6167e-15;6.26853e-15;1.80559e-15;-9.990E+02;9.92805e-15;2.60326e-15;-9.990E+02;4.03572e-15;2.01381e-15;-9.990E+02
01:31:32.221;+33:34:32.822;4.56E+20;0.643;+0.29/-0.21;1.56577e-14;2.36016e-15;7.78784e-15;1.93687e-15;-9.990E+02;8.84818e-15;2.40647e-15;-9.990E+02;1.49269e-14;3.86952e-15;-9.990E+02
01:31:19.681;+33:37:15.609;4.60E+20;0.8;-999/-999;4.49582e-15;1.27759e-15;4.78943e-15;1.73382e-15;-9.990E+02;2.32623e-15;1.36666e-15;-9.990E+02;2.31157e-15;1.64912e-15;-9.990E+02
01:31:46.534;+33:36:55.858;4.55E+20;0.700;+0.06/-0.06;1.91417e-13;6.78395e-15;1.24074e-13;6.63289e-15;-9.990E+02;9.36687e-14;6.75583e-15;-9.990E+02;1.84097e-13;1.18776e-14;-9.990E+02
01:31:25.523;+33:34:38.707;4.58E+20;0.8;-999/-999;3.55564e-15;1.16366e-15;1.11808e-15;8.55331e-16;-9.990E+02;2.17488e-15;1.36995e-15;-9.990E+02;6.48384e-15;2.8691e-15;-9.990E+02
01:31:43.810;+33:34:54.104;4.54E+20;0.8;-999/-999;4.27602e-15;1.25908e-15;3.16324e-15;1.42667e-15;-9.990E+02;2.74223e-15;1.50116e-15;-9.990E+02;4.09e-15;2.23896e-15;-9.990E+02
01:31:22.558;+33:34:26.776;4.58E+20;0.8;-999/-999;3.74958e-15;1.17983e-15;1.72939e-15;1.04233e-15;-9.990E+02;2.40248e-15;-2.64313e-12;1.59211e-11;9.19084e-15;3.38673e-15;-9.990E+02
01:31:49.646;+33:34:37.872;4.53E+20;0.368;+0.33/-0.23;1.54096e-14;2.6832e-15;2.39476e-15;1.00084e-15;-9.990E+02;8.94297e-15;2.36772e-15;-9.990E+02;1.43123e-14;3.78929e-15;-9.990E+02
01:31:50.794;+33:33:19.123;4.53E+20;1.137;+0.36/-0.24;7.56262e-15;1.21212e-15;6.58411e-15;1.97254e-15;-9.990E+02;1.31708e-14;2.9542e-15;-9.990E+02;7.5578e-15;2.61729e-15;-9.990E+02
01:31:12.510;+33:33:38.232;4.59E+20;0.8;-999/-999;3.0879e-15;1.09936e-15;1.45734e-15;9.68391e-16;-9.990E+02;1.25886e-15;1.00839e-15;-9.990E+02;5.63024e-15;2.63897e-15;-9.990E+02
01:31:22.238;+33:31:45.087;4.57E+20;0.201;+0.28/-0.21;2.50666e-14;3.81096e-15;3.89236e-15;1.30113e-15;-9.990E+02;9.65233e-15;2.62548e-15;-9.990E+02;2.29525e-14;5.0744e-15;-9.990E+02
01:31:51.384;+33:32:44.564;4.52E+20;0.472;+0.37/-0.25;1.40836e-14;2.63648e-15;5.8082e-15;1.76688e-15;-9.990E+02;5.03374e-15;1.97378e-15;-9.990E+02;1.3226e-14;4.02339e-15;-9.990E+02
01:32:00.753;+33:35:50.008;4.52E+20;0.8;-999/-999;4.15238e-15;1.2583e-15;5.51034e-16;6.15043e-16;-9.990E+02;5.01968e-15;2.11869e-15;-9.990E+02;5.34921e-15;2.66893e-15;-9.990E+02
01:31:33.004;+33:31:09.686;4.55E+20;0.8;-999/-999;4.3613e-15;1.29176e-15;3.76529e-15;1.59899e-15;-9.990E+02;1.63071e-15;1.20755e-15;-9.990E+02;4.86378e-15;2.55724e-15;-9.990E+02
01:31:14.049;+33:41:54.889;4.63E+20;0.8;-999/-999;6.01347e-15;1.44064e-15;1.98419e-15;1.082e-15;-9.990E+02;2.56495e-15;1.3987e-15;-9.990E+02;1.24283e-14;3.84736e-15;-9.990E+02
01:31:55.019;+33:41:29.028;4.55E+20;1.119;+0.31/-0.22;9.54637e-15;1.34953e-15;1.29935e-14;2.58528e-15;-9.990E+02;1.02328e-14;2.61776e-15;-9.990E+02;9.54235e-15;2.89869e-15;-9.990E+02
01:31:05.533;+33:34:18.759;4.61E+20;0.8;-999/-999;5.54062e-15;1.4074e-15;2.74163e-15;1.34042e-15;-9.990E+02;4.43399e-15;1.94508e-15;-9.990E+02;6.60848e-15;2.89898e-15;-9.990E+02
01:31:03.345;+33:35:23.082;4.61E+20;0.8;-999/-999;3.5007e-15;1.16474e-15;1.8186e-15;1.14965e-15;-9.990E+02;7.84558e-16;8.61419e-16;-9.990E+02;7.01374e-15;3.15132e-15;-9.990E+02
